Date,Open,High,Low,Close
10/15/1987,305.209991,305.230011,298.070007,298.079987
10/16/1987,298.079987,298.920013,281.519989,282.700012
10/19/1987,282.700012,282.700012,224.830002,224.839996
10/20/1987,225.059998,245.619995,216.460007,236.830002
10/21/1987,236.830002,259.269989,236.830002,258.380005
10/22/1987,258.23999,258.380005,242.990005,248.25
10/23/1987,248.289993,250.699997,242.759995,248.220001
10/26/1987,248.199997,248.220001,227.259995,227.669998
10/27/1987,227.669998,237.809998,227.669998,233.190002
10/28/1987,233.190002,238.580002,226.259995,233.279999
10/29/1987,233.309998,246.690002,233.279999,244.770004
10/30/1987,244.770004,254.039993,244.770004,251.789993
11/2/1987,251.729996,255.75,249.149994,255.75
11/3/1987,255.75,255.75,242.779999,250.820007
11/4/1987,250.809998,251,246.339996,248.960007
11/5/1987,248.929993,256.089996,247.720001,254.479996
11/6/1987,254.490005,257.209991,249.679993,250.410004
11/9/1987,250.410004,250.410004,243.009995,243.169998
11/10/1987,243.139999,243.169998,237.639999,239
11/11/1987,239.009995,243.860001,239,241.899994
11/12/1987,241.929993,249.899994,241.899994,248.520004
11/13/1987,248.539993,249.419998,245.639999,245.639999
11/16/1987,245.690002,249.539993,244.979996,246.759995
11/17/1987,246.729996,246.759995,240.809998,243.039993
11/18/1987,243.089996,245.550003,240.669998,245.550003
11/19/1987,245.539993,245.550003,239.699997,240.050003
11/20/1987,240.039993,242.009995,235.889999,242
11/23/1987,242,242.990005,240.5,242.990005
11/24/1987,242.979996,247.899994,242.979996,246.389999
11/25/1987,246.419998,246.539993,244.080002,244.100006
11/27/1987,244.110001,244.119995,240.339996,240.339996
11/30/1987,240.270004,240.339996,225.75,230.300003
12/1/1987,230.320007,234.020004,230.300003,232
12/2/1987,232.009995,234.559998,230.309998,233.449997
12/3/1987,233.460007,233.899994,225.210007,225.210007
12/4/1987,225.199997,225.770004,221.240005,223.919998
12/7/1987,223.979996,228.770004,223.919998,228.759995
12/8/1987,228.770004,234.919998,228.690002,234.910004
12/9/1987,234.910004,240.089996,233.830002,238.889999
12/10/1987,238.889999,240.050003,233.399994,233.570007
12/11/1987,233.600006,235.479996,233.350006,235.320007
12/14/1987,235.300003,242.339996,235.039993,242.190002
12/15/1987,242.190002,245.589996,241.309998,242.809998
12/16/1987,242.809998,248.110001,242.800003,248.080002
12/17/1987,248.080002,248.600006,242.960007,242.979996
12/18/1987,243.009995,249.179993,243.009995,249.160004
12/21/1987,249.139999,250.25,248.300003,249.539993
12/22/1987,249.559998,249.970001,247.009995,249.949997
12/23/1987,249.960007,253.350006,249.949997,253.160004
12/24/1987,253.130005,253.160004,251.679993,252.029999
12/28/1987,252.009995,252.020004,244.190002,245.570007
12/29/1987,245.580002,245.880005,244.279999,244.589996
12/30/1987,244.630005,248.059998,244.589996,247.860001
12/31/1987,247.839996,247.860001,245.220001,247.080002
1/4/1988,247.100006,256.440002,247.080002,255.940002
1/5/1988,255.949997,261.779999,255.949997,258.630005
1/6/1988,258.640015,259.790009,257.179993,258.890015
1/7/1988,258.869995,261.320007,256.179993,261.070007
1/8/1988,261.049988,261.070007,242.949997,243.399994
1/11/1988,243.380005,247.509995,241.070007,247.490005
1/12/1988,247.440002,247.490005,240.460007,245.419998
1/13/1988,245.410004,249.25,241.410004,245.809998
1/14/1988,245.830002,247,243.970001,245.880005
1/15/1988,246.020004,253.649994,245.880005,252.050003
1/18/1988,252.050003,252.860001,249.979996,251.880005
1/19/1988,251.839996,253.330002,248.75,249.320007
1/20/1988,249.309998,249.320007,241.139999,242.630005
